# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
5132H,Cold Air Preheat exchanger,
5133C,Cold Air Preheat Fan,
5134H,Hot Air Preheat Exchanger,
5135C,Combustion Air Fan,
5136F,Direct Fired Air Heater,
5137C,Hot Fluegas fan,
5138P,Fluegas fan oil pump,
5139H,Fluegas fan oil cooler,
5141B,Dryer Feed Atomizer,
5142U,Spray Drier,
5145B,Oxidation Chamber Feed Atomizer,
5146R,Oxidation Chamber,
5147G,Lump Breaker,
5151K,Hot Gas Filter,
5152C,Blowback Air Compressor,
5153H,Blowback Air heater,
5154T,Blowback Air Receiver,
5155X,Air Lock,
5156M,Solids Bin,
5161R,SO2 Converter,
5162H,Waste Heat Boiler,
5163T,Steam Drum,
5171U,Recycle Tower,
5172T,Recycle Tower pump Tank,
5173P,Recycle Tower Circulation Pump,
5174H,Recycle Cooler,
5175K,Recycle Mist Eliminator Pad,
5176K,Recycle Tower Candle Filters,
5177T,Quench water head tank,
5181U,Concentration Tower,
5182T,Product Pump Tank,
5183P,Product Pump,
5184H,Product Cooler,
5191T,Sulphuric Acid Sump,
5192P,Sulphuric Acid Sump Pump,
