# doc_id=0-LST-0001-1 discipline=0 revision=R0
col_0,Plant,col_2,col_3,col_4,Document Register,col_6,col_7,col_8,Standard-0-LST-0001-1-R0,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20
,Location,,,,,,,,Client Document Number,,,,,,,,,,,
,Document Number,,,,,,As,WBS,Qty,,,Document Status,,,,,Subcontract Documents,,,
,1.0,HAZ,0001,1-HAZ-0001,[Template] Hazop Record,,,,1.0,,,,,,,,,,,
,1.0,HAZ,0002,1-HAZ-0002,[Template] Hazop Responses,,,,1.0,,,,,,,,,,,
,,LST,,,,,,,,,,,,,,,,,,
,1.0,LST,0001,1-LST-0001,[Template] Battery Limits Conditions,,,,1.0,,,,,,,,,,,
,1.0,LST,0002,1-LST-0002,Fluid Codes List,,,,1.0,,,,,,,,,,,
,1.0,LST,0003,1-LST-0003,Process Control Logic Narrative,,,,1.0,,,,,,,,,,,
,,MAN,,,,,,,,,,,,,,,,,,
,1.0,MAN,0001,1-MAN-0001,[Template] Operating Manual,,,,1.0,,,,,,,,,,,
,1.0,MAN,0002,1-MAN-0002,[Template] Analytical Manual,,,,1.0,,,,,,,,,,,
,1.0,MAN,0003,1-MAN-0003,[Template] Training Manual,,,,1.0,,,,,,,,,,,
,,PFD,,,,,,,,,,,,,,,,,,
,1.0,PFD,XXXX,65 PFD 1 01 14,Process Flow Diagrams,,,,,,,,,,,,,,,
,1.0,PFD,XXXX,65 PFD 1 01 2,,,,,,,,,,,,,,,,
,,PID,,,,,,,,,,,,,,,,,,
,1.0,PID,0001,1-PID-0001,PID Legend,,,,1.0,,,,,,,,,,,
,1.0,PID,XXXX,50 PID 1 00 82,Process and Instrument Diagrams,,,,,,,,,,,,,,,
,,PRC,,,,,,,,,,,,,,,,,,
,1.0,PRC,0001,1-PRC-0001,Process Design Criteria,,,,1.0,,,,,,,,,,,
,1.0,PRC,0002,1-PRC-0002,Flowsheet Development and Approval,,,,1.0,,,,,,,,,,,
,1.0,PRC,0003,1-PRC-0003,P&ID Development and Approval,,,,1.0,,,,,,,,,,,
,1.0,PRC,0004,1-PRC-0004,Hazard and Operability Studies,,,,1.0,,,,,,,,,,,
,1.0,PRC,0005,1-PRC-0005,[Template] Pipe Service List,,,,1.0,,,,,,,,,,,
,1.0,PRC,0006,1-PRC-0006,[Template] Water and Air Trials,,,,1.0,,,,,,,,,,,
,1.0,PRC,0007,1-PRC-0007,Isolation and Preparation for Maintenance,,,,1.0,,,,,,,,,,,
,1.0,PRC,0008,1-PRC-0008,[Template] Performance Testing,,,,1.0,,,,,,,,,,,
,1.0,PRC,0009,1-PRC-0009,Safe Work Permits,,,,1.0,,,,,,,,,,,
,1.0,PRC,0010,1-PRC-0010,Plant Modification,,,,1.0,,,,,,,,,,,
,,,,,Subtotal    1 - Process Technology,,,,47.0,,,,,,,,,,,
,2.0,,,,2 - Civil and Site Preparation,,,,,,,,,,,,,,,
,,BOM,,,,,,,,,,,,,,,,,,
