# doc_id=0-LST-6 discipline=0 revision=R0
col_0,col_1,col_2,Rev,No,Item,Material Supply,col_7,col_8,col_9,Installation,col_11,col_12,Notes
,,,,,Connection Tubing and Fittings,,,,,,,,
,,,,,Tubing Raceway,,,,,,,,
,,,,,Instrument Support Stands,,,,,,,,
,,,,,Anchors for Support Stands,,,,,,,,
,,,,,Grout for Support Stands,,,,,,,,
,S,,,Control Systems,,,,,,,,,
,,,,,Field Control Panels,,,,,,,,
,,,,,Shutdown System,,,,,,,,
,,,,,Process Control System,,,,,,,,
,,,,,Operator Console,,,,,,,,
,S,,,Instrument Power Supply System,,,,,,,,,
,,,,,UPS For Controllers,,,,,,,,
,,,,,UPS For Field Devices,,,,,,,,
,,,,,Power Distribution Panels,,,,,,,,
,,,,,Power Distribution Cables,,,,,,,,
,,,,,Power Junction Boxes,,,,,,,,
,,,,,Power Cables,,,,,,,,
,S,,,Instrument Signal Cables,,,,,,,,,
,,,,,Instruments to Junction Boxes,,,,,,,,
,,,,,Junction Boxes,,,,,,,,
,,,,,JBs to Marshalling Cabinets,,,,,,,,
,,,,,Marshalling Cabinets,,,,,,,,
,,,,,Marshalling Cabinets to Controller I/O,,,,,,,,
,,,,,Controller Communication (In Plant),,,,,,,,
,,,,,Controller Communication (Out of Plant),,,,,,,,
,S,,,Cable Supports and Hardware,,,,,,,,,
,,,,,Cable Glands and Terminations,,,,,,,,
,,,,,Cable Labels,,,,,,,,
,,,,,Cable Clips and Ties,,,,,,,,
,,,,,Cable Tray incl Dividers,,,,,,,,
,,,,,Cable Tray Covers,,,,,,,,
,,,,,Tray Support Hardware,,,,,,,,
,,,,,Conduit and Fittings,,,,,,,,
,,,,,Conduit Support Hardware,,,,,,,,
,S,,,Spare Parts and Special Tools for Instrumentation Items Supplied by Kvaerner Chemetics,,,,,,,,,
,,,,,Commissioning Consumables,,,,,,,,
,,,,,Spare Parts as Listed,,,,,,,,
,,,,,Special Tools as Listed,,,,,,,,
x,,,,,,,,,,,,,
x,,,,,,,,,,,,,
x,H,,ELECTRICAL,,,,,,,,,,
x,,,,9.1,Electrical Distribution Equipment,,,ü,,,,ü,
x,,,,9.2,Electric Motors,,,ü,,,,ü,
x,,,,9.3,Power and Control Cables,,,ü,,,,ü,
x,,,,9.4,Lighting and Utility Power Supply System,,,ü,,,,ü,
x,,,,9.5,Lightning Protection and Grounding,,,ü,,,,ü,
x,,,,9.6,Cable Supports and Hardware,,,ü,,,,ü,
x,,,,9.7,"Special Systems (Fire, PA, CCTV, etc)",,,ü,,,,ü,
,S,,,For Electrical Equipment Supplied by Kvaerner Chemetics,,,,,,,,,
,,,,,All Internals For Full Functionality,,,,,,,,
,,,,,All Hardware for Assembly,,,,,,,,
,,,,,Anchor Bolts > 16 mm dia,,,,,,,,
,,,,,Anchor Bolts 16 mm dia and less,,,,,,,,
,S,,,Power and Control Cables,,,,,,,,,
,,,,,Feeder to H.V. Switchgear,,,,,,,,
,,,,,H.V. Switchgear to Field Loads,,,,,,,,
,,,,,H.V. Switchgear to Transformers,,,,,,,,
,,,,,H.V. Switchgear to DCS,,,,,,,,
,,,,,Transformers to M.V. Switchgear,,,,,,,,
,,,,,M.V. Switchgear to Field Loads,,,,,,,,
,,,,,M.V. Switchgear to Transformers,,,,,,,,
,,,,,M.V. Switchgear to DCS,,,,,,,,
,,,,,Transformers to L.V. Switchgear,,,,,,,,
,,,,,L.V. Switchgear to Field Loads,,,,,,,,
,,,,,Field Welding Receptacles,,,,,,,,
,,,,,L.V. Switchgear to Field Controls,,,,,,,,
,,,,,Field Control Stations,,,,,,,,
,,,,,L.V. Switchgear to DCS,,,,,,,,
,S,,,Lighting and Utility Power Supply System,,,,,,,,,
,,,,,Power Distribution Panels,,,,,,,,
,,,,,Power Distribution Cables,,,,,,,,
,,,,,Power Junction Boxes,,,,,,,,
,,,,,Power Cables,,,,,,,,
,,,,,Utility Power Receptacles,,,,,,,,
,,,,,Process Building Light Fixtures,,,,,,,,
,,,,,Area Light Fixtures,,,,,,,,
,S,,,Lightning Protection and Grounding,,,,,,,,,
,,,,,Grounding Rods,,,,,,,,
,,,,,Main Grounding Grid,,,,,,,,
,,,,,Gr'nd Cable for Equip & Structures,,,,,,,,
,,,,,Gr'nd Cable for Instruments,,,,,,,,
,,,,,Lightning Rods and Cable,,,,,,,,
,S,,,Cable Supports and Hardware,,,,,,,,,
,,,,,Cable Glands and Terminations,,,,,,,,
,,,,,Cable Labels,,,,,,,,
,,,,,Cable Clips and Ties,,,,,,,,
,,,,,Cable Tray incl Dividers,,,,,,,,
,,,,,Cable Tray Covers,,,,,,,,
,,,,,Tray Support Hardware,,,,,,,,
,,,,,Conduit and Fittings,,,,,,,,
,,,,,Conduit Support Hardware,,,,,,,,
,S,,,Special Systems,,,,,,,,,
,,,,,Fire Detection,,,,,,,,
,,,,,Public Address,,,,,,,,
,,,,,Telephone,,,,,,,,
,,,,,Closed Circuit TV,,,,,,,,
,S,,,Spare Parts and Special Tools for Electrical Items Supplied by Kvaerner Chemetics,,,,,,,,,
,,,,,Commissioning Spares as Listed,,,,,,,,
,,,,,Spare Parts as Listed,,,,,,,,
,,,,,Special Tools as Listed,,,,,,,,
