# doc_id=5-LST-0003-1 discipline=5 revision=R0
col_0,Client Name,col_2,col_3,col_4,"Piping Service List
(Chemical Plant)",col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,"Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc.",col_16,col_17,col_18,col_19
,CGW,"Chlorine, Gas Wet",,"CPVC 
(in cellroom)",N,Hydro,No,0,0-100,60 - 90,"1034 @ 38
234 @ 98
*",CP3,C,On-Off / Isolation (b'fly),V2868,100,400,"* Service Limits vary with temp.

Use CF1 (FRP wrapped CPVC) where added mechanical protection required on small lines.
Use CF2 (CPVC-FRP dual laminate) for large sizes in large plants, high temp/press.",CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3253,15,80,,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3261,20,80,,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3353,15,50,,CA
,,,,,,,,,,,,,,Check (ball - vertical),V4262,25,100,,CA
,,,,,,,,,,,,,,Check (lift - horizontal),V4266,25,100,,CA
,,,,,,,,,,,,,,Check (ball),V4353,25,50,,CA
,,,,"FRP
(downstream of cellroom from Weak Brine Tank)",N,Hydro or Pneum,No,5.7,0-100,20 - 90,"1034 @ 100 (≤ DN80)
345 @ 100
(> DN80)",FR9,C,On-Off / Isolation (ball),V1266,25,80,"Consider FR13 for low pressure (vent) lines, FR5 for higher pressure lines not requiring the corrosion barrier of FR9.",CA
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2868,100,400,,CA
,,,,FRP wrapped PVC (Cl2 Drying System),N,Hydro or Pneum,No,0.0,21,20 - 40,"1034 @ 32
345 @ 60
*",VF6,T,,,,,* Service Limits vary with temp.,CA
,,,,"PTFE-lined steel
(downstream of shut off valves @HCl Synthesis unit)",N,Hydro or Pneum,No,0,0 - 1034,amb - 70,"1724 @ 38
1275 @ 232
*",TC3 (or TC4),A,On-Off / Isolation (diaphragm-weir),V3261,20,100,* Service Limits vary with temp.,CA
,,,,,,,,,,,,,,Check (ball - vertical),V4262,25,100,,CA
,,,,,,,,,,,,,,Check (lift - horizontal),V4266,25,100,,CA
,,,,"PVC
(low press/temp)",N,Hydro,No,0,0 - 100,amb - 60,"1034 @ 32
345 @ 60
*",PV6,C,,,,,"* Service Limits vary with temp.

Use VF6 where mechanical protection required on small lines. Large lines unsuitable for vacuum.",CD
,,,,"Titanium w/ Gr. 7
face ring",N,Hydro,No,0,FV - 100,0 - 120,621 @ 149,TT3,A,On-Off / Isolation (diaphragm-weir),V3265,25,100,Ti Gr 16 may be substituted for Gr. 7.,CD
,,,,,,,,,,,,,,Sample,V6153,6,6,,CD
,,,,"FRP 
25# Press.
(for larger diameter pipe in vent service; e.g. upstream of Hypo tower)",N,Hydro or Pneum,No,2.8,0 - 170,0 - 90,172 @ 93,FR13,C,,,,,,CD
,CL,"Chlorine, Liquid",,"Carbon Steel
(low temperature)",N,Hydro + Pneum (see 5-SPC-0101),No,3.0,0 - 800,-34 to 0,"2068 @ 149
2068 @ -46",CS12,E,Excess Flow,V4191,25.0,50.0,"No Titanium allowed for dry chlorine service.
Materials must be cleaned, dried, packaged for dry chlorine service.
Valves that may trap chlorine to be vented.",CA
,,,,,,,,,,,,,,Check (lift - horizontal),V4212,25,150,,CA
,,,,,,,,,,,,,,On-Off / Isolation (globe-bellows),V8214,15,100,,CA
,CML,"Calcium Chloride, Solution",,PVC,N,Hydro,No,0.0,100 - 300,amb,"1034 @ 32
345 @ 60
*",PV6,C,On-Off / Isolation (ball),V1352,15.0,50.0,* Service Limits vary with temp.,CA
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2863,100,400,,CA
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm-weir),V3356,15,50,,CA
,,,,,,,,,,,,,,Check (ball),V4352,25,50,,CA
,,,,,,,,,,,,,,Check (ball),V4252,25,100,,CA
,,,,"Carbon Steel
(chilled brine used as coolant, at Sulphate Crystallizer cooler)",N,Hydro,No,1.5,200 - 400,-20 to amb,1034 @ 204,CS9,B,On-Off / Isolation (b'fly),V2837,100,300,,SC
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7141,15,50,,SC
