# doc_id=5-SPC-0004 discipline=5 revision=R1
col_0,Client Name,col_2,col_3,col_4,Specification,col_6,col_7,col_8,col_9,col_10,"Aker Kvaerner
Chemetics
A Division of Aker Kvaerner Canada Inc.",col_12,col_13,col_14,col_15
,V2736,Butterfly,"Wafer
B16.5 150#",Stainless Steel,"Class 150, wafer type, butterfly valve.  Cast iron body, epoxy coated.  316 stainless steel disc and stem. Teflon seat with EPDM backup elastomer.",Bray,20/126,Reduced,,,25 to 350,,,Bray,20/126
,V2737,Butterfly,"Wafer
B16.5 150#",Stainless Steel,"Class 150, wafer type, butterfly valve.  Cast iron body, epoxy coated,  316 stainless steel disc and stem, EPDM seat.",Bray,30/124,Reduced,,,50 to 500,,,Bray,30/124
,V2763,Butterfly,"Wafer
B16.5 150#",Plastic Lined,"Class 150, wafer type, butterfly valve.  Cast iron body, epoxy coated.  EPDM moulded metal disc and stem, EPDM seat.",Bray,20/128,Reduced,,,50 to 500,,,Bray,20/128
,V2764,Butterfly,"Wafer
B16.5 150#",Plastic Lined,"Class 150, wafer type, butterfly valve.  Cast iron body, epoxy coated.  PTFE moulded metal disc and stem.  PTFE seat with EPDM backup elastomer.",Bray,20/127,Reduced,,,50 to 500,,,Bray,20/127
,V2766,Butterfly,"Wafer
B16.5 150#",Plastic Lined,"Class 150, wafer type, hi-performance, butterfly valve.  Ductile iron body, epoxy coated. PFA encapsulated metal disc. PTFE seat with Viton backup elastomer.",Durco,BTW-480/1-V,Reduced,,,50 to 600,,,Durco,BTW-480/1-V
,V2768,Butterfly,"Wafer
B16.5 150#",Plastic Lined,"CWP 150 wafer type, hi-performance, butterfly valve.  Ductile iron body, epoxy coated.  PFA encapsulated metal disc. PFA seat with Viton backup elastomer",AMRI,Acris IW-31KF-S9,Reduced,,CWP150,50 to 600,,,AMRI,Acris IW-31KF-S9
,V2782,Butterfly,"Wafer
B16.5 150#",Alloy,"Class 150, wafer type, butterfly valve.  Lewmet body, disc and stem, teflon seal.",Chas. S Lewis,,,,,,,,Chas. S Lewis,401/2/3
,V2811,Butterfly,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 lug tapped, butterfly valve.  Cast steel body, 316 stainless steel disc and stem, teflon seat and seal.",Durco,BX2L181SS1V0/1,,,,50 to 900,,,Durco,BX2L181SS1V0/1
,V2812,Butterfly,"Flanged B16.5
150# RF",Plastic lined,Same as V2866 but with Carbon steel (ASTM 216 WCB) Body,Durco,BTW280/1-V,,,,50 to 600,,,Durco,BTW280/1-V
,V2813,Butterfly,"Flanged B16.5
150# RF",Carbon Steel,"Class 150 lug tapped, butterfly valve.  Cast steel body, 316 stainless steel disc and stem, teflon seat and seal. Fire sealed",Durco,BX2L181SS1V0/1,,API 607,150.0,50 to 900,,,Durco,BX2L181SS9Z0/1
l,V2816,Butterfly,"Flanged
B16.5
300# RF",Carbon Steel,"Class 300, lug tapped, wafer sphere, hi performance, cast steel butterfly valve c/w gear operator. Cast steel body, epoxy coated, monel disc & shaft, reinforced PTFE seats & PTFE seals. Cleaned & dried for chlorine service.",,,,,300.0,80 to 900,,,Jamesbury,830LC-11-2271MT
,V2832,Butterfly,"Flanged B16.5
150# RF",Stainless Steel,"Class 150, lug tapped, hi-performance, butterfly valve.  316 stainless steel body, disc and stem.  Teflon seat and seal.  .",Durco,BX2L111SS1V0/1,,,,50 to 900,,,Durco,BX2L111SS1V0/1
,V2835,Butterfly,"Flanged B16.5
150# RF",Stainless Steel,"Class 150, lug tapped, butterfly valve.  Cast iron body, epoxy coated. 316 stainless steel disc and stem. Buna N seat.",Bray,31/125,,,,50 to 500,,,Bray,31/125
,V2836,Butterfly,"Flanged B16.5
150# RF",Stainless Steel,"Class 150, lug tapped, butterfly valve.  Cast iron body, epoxy coated. 316 stainless steel disc and stem. Teflon seat with EPDM backup elastomer.",Bray,21/126,,,,50 to 350,,,Bray,21/126
,V2837,Butterfly,"Flanged B16.5
150# RF",Stainless Steel,"Class 150, lug tapped, butterfly valve.  Cast iron body, epoxy coated. 316 stainless steel disc and stem. EPDM seat. (up to 20”)",Bray,31/124,,,CWP 150,50 to 500,,,Bray,31/124
,V2838,Butterfly,"Flanged B16.5
150# RF",Stainless Steel,"150# , Flanged, butterfly valve.  Cast iron body, epoxy coated. 316 stainless steel disc and 304 S. Steel stem EPDM seat. Gear operated (24” & Larger)",Bray,31/124,,,CWP 150,>500,,,Bray,36/124
,V2863,Butterfly,"Flanged B16.5
150# RF",Plastic Lined,"150#, lug tapped, butterfly valve.  Cast iron body, epoxy coated. EPDM moulded metal disc and stem. EPDM seat.",Bray,21/128,,,,50 to 500,,,Bray,21/128
