# doc_id=5-SPC-0004 discipline=5 revision=R1
col_0,Client Name,col_2,col_3,col_4,Specification,col_6,col_7,col_8,col_9,col_10,"Aker Kvaerner
Chemetics
A Division of Aker Kvaerner Canada Inc.",col_12,col_13,col_14,col_15
,V8214,Globe,"Flanged B16.5
300# RF",Carbon Steel,"300#, RF, bellows type globe valve.  A350 LF2 carbon steel body, bonnet and disc.  Hastelloy C bellows and trim, stellite seats. (A352 LCC body and bonnet 1-1/5” and larger).  Cleaned and dried for chlorine service.",Shaw,M6422,,,300.0,15 to 200,,,Shaw,M6422
,V8221,Globe,"Flanged B16.1
125# FF",Cast Iron,"Class 125, FF, All iron globe valve.  OS&Y, bolted bonnet. Bronze Trim (IBBM)",Jenkins,2342J,,,125.0,50 to 250,,,Jenkins,2342J
,V8231,Globe,"Flanged B16.5
150# RF",Stainless Steel,"150#, RF, Globe valve.  316 Stainless Steel body and disc. OS&Y, bolted bonnet, rising stem.",Kitz,150UPAM,,"ASME
B16.34",150.0,15 to 300,,,Kitz,150UPAM
l,V8241,Globe,"Flanged B16.5
150# RF",Stainless Steel,"Class 150, RF, Globe valve.  Forged steel body.  13% chrome trim, stellite seat.  OS&Y, bolted bonnet, rising stem.",Kitz,150UPAM,,"ASME
B16.34",150.0,15 to 50,,,,
,V8331,Globe,Socket,Stainless Steel,"Class 800 globe valve, 316 stainless steel (A182 F316/F316L) body and trim.  Bolted bonnet, rising stem.",Bonney Forge,HL3-8-SW,Standard,"ASME
B16.34",800.0,15 to 50,,,Vogt,SW-12501
,V8341,Globe,Socket,Forged Steel,"Class 800 globe valve, A105 forged steel  body.  13% chrome trim, stellite seat.  Bolted bonnet, rising stem.  Socket weld connections.",Vogt,SW-12141,Standard,"ASME
B16.34",800.0,15 to 50,,,Vogt,SW-12141
,V8411,Globe,Buttweld,Carbon Steel,"Class 600 Cast carbon steel globe valve.  13% chrome trim, full stellite seats (body and disc).  OS&Y, bolted bonnet, rising stem. ASME B16.25 buttweld connection (connecting pipe schedule to be specified with order).",Kitz,150SCJS,,"ASME
B16.34",150.0,50 to 300,,,Kitz,W600 SCJSY
,V8412,Globe,Buttweld,Carbon Steel,"Class 900 Cast carbon steel globe valve.  13% chrome trim, full stellite seats (body and disc).  OS&Y, bolted bonnet, rising stem. ASME B16.25 buttweld connection (connecting pipe schedule to be specified with order).",Kitz,150SCJS,,"ASME
B16.34",150.0,80 to 200,,,Kitz,W900 SCJSY
,V9133,Ram Sampling,"Screwed
NPT (MxF)",Stainless Steel,Ram type sampling valve.  316 stainless steel construction.  Teflon seals.  MNPT x FNPT connections.,Fetteroff,,,,,,,,Fetterolf,
,V9134 was V9131,Back Pressure,Screwed FNPT,Stainless Steel,"316 stainless steel body, diaphragm type, back pressure valve.  FNPT x FNPT connection.",Cash Acme,,,,,,,,Cash Acme,
,V9233 was V9231,Ram Drain,Flanged B16.5 RF,Stainless Steel,"150#, RF, ram type drain valve.  316 stainless steel body and piston.  Carbon Steel bonnet, teflon seals.  60º straight neck.",,,,,,,,,,
,V9234 was V9232,Ram Drain,"Flanged B16.5
150# RF",Stainless Steel,"150#, RF, ram type drain valve.  316 stainless steel body and piston.  Carbon Steel bonnet, teflon seals.  45º curved neck.",,,,,,,,,,
,V9251,Pinch,"Flanged B16.5
150# RF",Plastic Lined,"CWP 225  clamp valve with PTFE tube, ductile iron body, stainless steel clamping mechanism",Resistoflex,R6000DI,Full,,CWP 225,25 to 200,,,Resistoflex,R6000DI
,V9252,Pinch,"Flanged B16.1
125 # FF",Plastic Lined,"125# FF pinch valve with Buna-N rubber tube, steel frame, handwheel actuator with locking device",,,Full,,"CWP 150
CWP 125","25 to 150
200",,,Red Valve,Series 70
,V9253,Pinch,"Flanged B16.1
125 # FF",Plastic Lined,"125# FF pinch valve with Hypalon rubber tube, steel frame, handwheel actuator with locking device",,,Full,,"CWP 150
CWP 125","25 to 150
200",,,Red Valve,Series 70
,V9261,Sampling Valve,"Flanged B16.5
150 # RF",Plastic Lined,"Class 150 RF, sampling valve.  PFA lined ductile iron body, epoxy coated.  PTFE bellows and stem seal.  Standard bottle adapter with vent connection.  Supplied with ten (10) 250 ml glass sample botttles.",,,,,150.0,25 to 50,,,ITT Richter,PA1510-GL45 B2
