# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
7845B,Final Gas Injection Packing Support,Equipment supply only
7846A,Final Dilution Mixer,
7850T,Oleum Pump Tank,
7851P,Oleum Pump,
7853H,Oleum Cooler,
7854B,Oleum Distributor,
7855H,Oleum Boiler,
7856H,SO3 Condenser,
7860U,Crossflow Stripper,
7861K,Crossflow Stripper Mist Eliminator,
7862B,Crossflow Stripper Distributor,
7863P,Crossflow Pump,
7865U,Product Stripper,
7866K,Product Stripper Mist Eliminator,
7867B,Product Stripper Distributor,
7870T,Dilution Pump Tank,
7871P,Dilution Pump,
7872H,Dilution Cooler,
7873K,Dilution Water Filter,
7875P,Product Pump,
7876H,Product Cooler,
7877P,Acid Drain Pump,
7878T,Product Transfer Tank,
7879P,Product Transfer Pump,
7880U,NOx Stripper,
7881K,NOx Stripper Mist Eliminator,
7882B,NOx Stripper Distributor,
7883P,NOx Stripper Pump,
7885U,NOx Absorber,
7886K,NOx Absorber Mist Eliminator,
7887B,NOx Absorber Distributor,
7888P,NOx Absorber Pump,
7889T,NOx Absorber Pump Tank,
7890T,Peroxide Tank,
7891P,Peroxide Injection Pump,
7892T,Candle Drain Tank,
7893P,Candle Drain Pump,
7895T,Hydrazine Tank,
7896P,Hydrazine Injection Pump,
7898T,Strong Acid Sump,
7899P,Strong Acid Sump Pump,
Area 179,Product Acid Storage,
7910T,Storage Tank,
7911P,Loading Pump,
7920P,Strong Acid Transfer Pump,
7930K,Flame Arrestor,
7998T,Sump,
7999P,Sump Pump,
Area 180,Alpha System,
8010C,Alpha Booster Fan,
8020U,Alpha Tower,
8021B,Alpha Distributor,
8025T,Alpha Mist Eliminator Vessel,
8026K,Alpha Tower Mist Eliminator,
8030T,Alpha Pump Tank,
8031P,Alpha Pump,
8035H,Alpha Boiler,Thermosyphon
8036H,Alpha Boiler,Kettle
8039T,Alpha BFW Tank,was 9027
8040P,Alpha Boiler Water Pump,was 9026
8041H,Alpha Water Preheater,was 9023
8050T,Alpha Steam Drum,was 9028
8051K,Alpha Steam Drum Mist Eliminator,
8080H,Alpha Steam Condenser,was 9029
Area 185,Effluent Neutralization,
8501T,Waste Collection Tank,was 9501T
8502A,Waste Agitator,was 9502A
8503P,Waste Feed Pump,was 9503P
8510T,Neutralization Tank,was 9510T
8511A,Neutralization Agitator,was 9511A
8515T,Precipitation Tank,was 9515T
8516A,Precipitation Agitator,was 9516A
8517P,Precipitation Recirculation Pump,was 9528P
8524C,Vent Blower,was 9524C
8525K,Primary Thickener,was 9525K
8526A,Primary Rake,was 9526A
8527P,Primary Thickener Underflow Pump,was 9527P
8530T,Arsenic Precipitation Tank,was 9530T
8531A,Arsenic Agitator,was 9531A
8535K,Secondary Thickener,was 9535K
8536A,Secondary Rake,was 9536A
8537P,Secondary Thickener Underflow Pump,was 9537P
8540T,Neutralized Effluent Tank,was 9540T
8541A,Effluent Agitator,was 9541A
8542P,Effluent Pump,was 9542P
8545T,Sludge Holding Tank,was 9545T
8546A,Sludge Agitator,was 9546A
8547P,Sludge Pump,was 9547P
8555A,Flocculant Mixer,was 9555A
8556P,Flocculant Transfer Pump,was 9556P
8557T,Flocculant Holding Tank,was 9557T
8558P,Primary Metering Pump,was 9558P
8559A,Primary In-line Mixer,was 9559A
8560P,Secondary Metering Pump,was 9560P
8561A,Secondary In-Line Mixer,was 9561A
8565T,H2SO4 Holding Tank,was 9565T
8566P,Effluent H2SO4 Pump,was 9566P
8567P,Arsenic H2SO4 Pump,was 9567P
8569M,Fe2(SO4)3 Chute,was 9569M
8570T,Fe2(SO4)3 Mix Tank,was 9570T
8571A,Fe2(SO4)3 Agitator,was 9571A
8572P,Fe2(SO4)3 Transfer Pump,was 9572P
8573T,Fe2(SO4)3 Day Tank,was 9573T
8574A,Day Tank Agitator,was 9574A
8575P,Fe2(SO4)3 Feed Pump,was 9575P
8576M,Fe2(SO4)3 Hoist,was 9576M
8577K,Fe2(SO4)3 Strainer,was 9577K
8580K,Sludge Filter,was 9548K
8581T,Weir Box,was 9549T
8582M,Filter Press Discharge Conveyor,was 9580M
8583M,Transfer Conveyor,was 9554M
8585T,Filtrate Tank,was 9550T
8586P,Filtrate Pump,was 9551P
8590T,Pressing Water Tank,was 9517T
8591P,Pressing Water Pump,was 9518P
8592P,Manifold Flushing Pump,was 9519P
8593T,Air Release Tank,was 9520T
8594K,Cloth Wash Water Filter,was 9521K
8595P,Treated Water Booster Pump,was 9522P
8598T,Effluent Sump,was 9578T
8599P,Effluent Sump Pump,was 9579P
Area 186,Solids Stabilization,
8610T,Wet Filter Cake Hopper,was 9583T
8611A,Wet Filter Cake Hopper Screw,was 9584A
8620M,Drier Feed Conveyor,was 9581M
8625F,Drier/Calciner,was 9585F
8626F,Calciner Burner,was 9584F
8627C,Combustion Air Fan,was 9582C
8628C,Secondary Air Fan,was 9594C
8630D,Off-Gas Cyclone,was 9589D
8631M,Cyclone Dust Feeder,was 9592M
8632M,Cyclone Discharge Conveyor,was 9596M
8635D,Off-Gas Filter,was 9590D
8636M,Filter Dust Feeder,was 9591M
8645C,Off-Gas Fan,was 9597C
8646F,Calciner Stack,was 9598F
8660M,Calcined Product Conveyor,was 9586M
8661M,Calciner Feed Conveyor,was 9593M
8665T,Calcined Product Storage,was 9587T
8666M,Calcined Product Feeder,was 9588M
8690M,Transport Bin,was 9599M
8699P,Calciner Sump Pump,was 9595P
