# doc_id=5-LST-0004 discipline=5 revision=R0
col_0,Client Name,col_2,col_3,col_4,"Piping Service List
(Utilities)",col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,"Aker Kvaerner Chemetics
A Division of Aker Kvaerner Canada Inc.",col_16,col_17,col_18
,Project Title,,,,,,,,,,,,,,,,,
,Location,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Standard-5-LST-0003-R0,,,
,Service Code,Fluid,Fluid Composition,Material Description / Application,ASME B31.3 Fluid Class,Pressure Test Method,Flange Guard,"Corr. Allow.
(mm)","Service Pres.
(kPag)","Service Temp.
(oC)","Pipe Spec Service Limit
(kPag @ oC)",Pipe Spec,Gasket Spec,Valve Application,Valve Code,"Valve Size
(Min)","Valve Size
(Max)",Notes
,AC,"Air, Compressed
(Plant / Mill Air)",,"Carbon Steel, Galvanised",D,Service,No,0,600 - 800,Amb,1034 @ 177,CS4,B,On-Off / Isolation (ball),V1112,15,50,"For SS valves use V1131, V1132 for instr isolation / free ends."
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2838,600,750,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7221,80,200,
,WCR,"Water, Cooling Return",<2000 ppm Cl-,Carbon Steel,D,Service,No,1.5,200 - 500,30 - 40,1034 @ 204,CS9,B,On-Off / Isolation (ball),V1112,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,25,100,
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2837,80,500,
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2838,600,750,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7221,80,200,
,WD,"Water, Demineralized",,304L Stainless Steel,D,Service,No,0,400 - 600,Amb,1034 @ 204,S42,B,On-Off / Isolation (ball),V1231,80,100,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1331,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2837,100,150,
,,,,,,,,,,,,,,Check (swing),V4231,80,150,
,,,,,,,,,,,,,,Check (swing),V4331,15,50,
,,,,,,,,,,,,,,Throttling (globe),V8331,15,50,
,,,,PVC,D,Service,No,0,400 - 600,Amb,"1034 @ 32
345 @ 60
*",PV6,C,On-Off / Isolation (ball),V1352,15,50,* Service Limits vary with temp.
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1252,80,80,
,,,,,,,,,,,,,,On-Off / Isolation (b'fly),V2837,100,150,
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm),V3356,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (diaphragm),V3256,80,100,
,,,,,,,,,,,,,,Check (ball),V4352,15,50,
,,,,,,,,,,,,,,Check (ball),V4252,80,100,
,,,,,,,,,,,,,,Check (swing),V4752,80,100,
,WF,"Water, Fire",,Carbon Steel,n/a*,Hydro,No,1.5,<1034,Amb,1034 @ 204,CS9*,B,,,,,* Design per local code (e.g. NFPA) or FM standards.
,WP,"Water, Potable",,"Carbon Steel, Galvanized",D,Service,No,0,400 - 600,Amb,1034 @ 177,CS4,B,On-Off / Isolation (ball),V1112,15,50,"For SS valves use V1131, V1132 for instr isolation / free ends."
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,80,100,For SS valve use V1231.
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,For SS valve use V8131.
,,,,PVC,D,Service,No,0,400 - 600,Amb,"1034 @ 32
345 @ 60
*",PV6,D,On-Off / Isolation (ball),V1352,15,50,* Service Limits vary with temp.
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1252,80,80,
,WM,"Water, Process (Mill)",,Carbon Steel,D,Service,No,1.5,400 - 600,Amb,1034 @ 204,CS9,B,On-Off / Isolation (ball),V1112,15,50,
,,,,,,,,,,,,,,On-Off / Isolation (ball),V1211,25,100,
,,,,,,,,,,,,,,Check (swing),V4141,15,50,
,,,,,,,,,,,,,,Check (swing),V4221,50,300,
,,,,,,,,,,,,,,On-Off / Isolation (gate),V7221,80,200,
,,,,,,,,,,,,,,Throttling (globe),V8121,15,50,
