# doc_id=0-LST-4007 discipline=0 revision=R0
"Primary
Code",col_1,Work Code,Cost Code Description,UOM,"Cost 
Type",Comments,col_7,col_8
,0823,,"Equipment Foundations < 3 CY
(All costs for Equipment Foundations < 3 CY, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0823,,Concrete,CY/CM,,,,
,0823,,Forms,SF/SM,,,,
,0823,,Rebar,LB/KG,,,,
,0823,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0823,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0823,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0823,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0823,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0824,,"Equipment Foundations 3 - 50 CY
(All costs for Equipment Foundations 3 - 50 CY, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0824,,Concrete,CY/CM,,,,
,0824,,Forms,SF/SM,,,,
,0824,,Rebar,LB/KG,,,,
,0824,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0824,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0824,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0824,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0824,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
0800,,,CONCRETE - Continued  (HEADER ONLY),,,,,
,0825,,"Equipment Foundations > 50 CY
(All costs for Equipment Foundations > 50 CY, including Material and Labor costs for concrete, forms, rebars, anchor bolts, embeded steel, expension joint, water stop, vapor barrier and costs for excavation and backfill)",LS,"L,M,U,S,V",,x,
,0825,,Concrete,CY/CM,,,,
,0825,,Forms,SF/SM,,,,
,0825,,Rebar,LB/KG,,,,
,0825,,Anchor Bolts and Embedded Steel,LB/KG,,,,
,0825,,"Expansion Joint, Waterstop, Vapor Barrier",LF/LM,,,,
,0825,,"Excavation (See structural excavation, 0200, as alternative coding)",CY/CM,,,,
,0825,,"Backfill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
,0825,,"Purchased fill (See structural backfill, 0200, as alternative coding)",CY/CM,,,,
