# doc_id=4-LST-0101 discipline=4 revision=R0
Equipment,Equipment_1,Comments
3105P,Potash Evaporator Feed Pump,
3109H,Condensate Preheater,
3110H,Evaporation Preheater,
3112H,First Effect Heater,
3113P,First Effect Pump,
3115H,Second Effect Heater,
3116P,Second Effect Pump,
3130H,Vapor Condenser,
3135V,Potash Evaporation Vacuum Pump,
3137H,Concentrated Potash Cooler,
3146P,Potash Condensate Pump,
3147T,Potash Condensate Tank,
3161T,Sugar Dissolving Tank,
3162P,Sugar Dosing Pump,
3164T,Potash Cooling Water Tank,
3166P,KOH Cooling Water Pump,
3167P,Potash Cooling Water Cooler,
3168T,Condensate Tank,
3176C,Flaker Combustion Air Fan,
3181J,Final Concentrator,
3182H,Molten Salt Heater,
3183T,Molten Salt Tank,
3185X,Fuel Oil Burning System,
3186P,Molten Salt Pump,
3187X,Flaker,
3188M,Flake Chute,
3189M,Potash Melt Diverter,
3190D,Dust Aspirator,
3195M,Potash Bagging Conveyer,
3196M,Potash Bag Closer,
3197M,Potash Bagging Scale,
Area 35,Potassium Carbonate Handling+B335,
3505F,Potassium Carbonate Boiler,
3506C,Boiler Exhaust Fan,
3510C,Reactor Furnace Air Fan,
3511F,Potassium Carbonate Reactor Furnace,
3512P,Potassium Hydroxide Feed Pump,
3513R,Potassium Carbonate Reactor,
3514M,Potassium Carbonate Reactor Conveyer,
3516H,Potassium Carbonate Product Cooler,
3517M,Potassium Carbonate Cooler Conveyer,
3519M,Potassium Carbonate Bucket Elevator,
3525G,Potassium Carbonate Screener,
3526M,Potassium Granule Divertor,
3528G,Potassium Carbonate Granule Crusher,
3529C,Potassium Carbonate Rejects Blower,
3530M,Potassium Carbonate Storage Silo,
3531M,Potassium Carbonate Product Conveyer,
3532M,Potassium Carbonate Bagging Scale,
3534D,Potassium Carbonate Dust Collector,
3536M,Potassium Carbonate Bagging Conveyer,
3537M,Potassium Carbonate Bagging Machine,
3540D,Potassium Carbonate Fines Cyclone,
3542U,Potassium Carbonate Exhaust Scrubber,
3543C,Potassium Carbonate Fines Blower,
3545P,Potassium Carbonate Recycle Pump,
3546P,Potassium Carbonate Solution Pump,
3550T,Potassium Carbonate Wash Tank,
3551P,Potassium Carbonate Wash Pump,
3560T,Potassium Carbonate Storage Tank,
3562P,Potassium Carbonate Supply Pump,
Area 40,Chlorine Handling,
4005U,Chlorine Cooling Tower,
4006P,Cooling Tower Pump,
4007H,Cooling Tower Cooler,
4010U,Chlorine Chilling Tower,
4011P,Chilling Tower Pump,
4012H,Chilling Tower Cooler,
4015H,Chlorine Cooler,
4017H,Chlorine Chiller,
4020K,Chlorine Candle Filter,
4021U,Chlorine Drying Tower,
4022P,Sulphuric Acid Circulation Pump,
4023H,Sulphuric Acid Cooler,
4024U,Tertiary Chlorine Drying Tower,
4025C,Wet Chlorine Blower,
4026K,Wet Chlorine Candle Filter,
4027H,Wet Chlorine Chiller,
4028H,Wet Chlorine Cooler,
4029T,Chlorine Compressor Suction Pot,
4030C,Chlorine Compressor,
4031H,Chlorine Compressor Acid Cooler,
4035K,Sulphuric Acid Separator,
4036K,Sulphuric Acid Mist Separator,
4038C,Dry Chlorine Blower,
4040H,Chlorine Liquefier,
4041T,Liquid Chlorine Separator,
4045H,Liquefier Refrigeration Unit,
4046T,Liquid Chlorine Receiver,
4047P,Liquid Chlorine Pump,
4055T,Glycol Pump Tank,
4056P,Glycol Circulation Pump,
4057P,Glycol Feed Pump,
4058T,Glycol Expansion Pot,
4060T,Chlorine Storage Tank,
4061P,Chlorine Sump Pump,
4065H,Chlorine Vaporizer,
4066H,Chlorine Superheater,
4067T,Chlorine Loading Expansion Tank,
4068M,Liquid Chlorine Tanker Loading,
4069U,Sulphuric Acid Dechlorination Tower,
4071P,Sulphuric Acid Unloading Pump,
4074T,Sulphuric Acid Head Tank,
4075T,Strong Sulphuric Acid Tank,
4076P,Strong Sulphuric Acid Pump,
4077T,Weak Sulphuric Acid Tank,
4078P,Weak Sulphuric Acid Pump,
4079M,Chlorine Cylinder Filling Scales,
4080M,Chlorine Container Filling Scales,
4081M,Chlorine Container Hoist,
4082T,Chlorine Expansion Drum,
4083T,Liquid Chlorine Catch Pot,
4085T,Dilute Sulphuric Acid Tank,
4086A,Dilute Sulphuric Acid Mixer,
4087H,Dilute Sulphuric Acid Cooler,
4088P,Dilute Sulphuric Acid Pump,
4090M,Chlorine Ton Containers,
4091M,50 Kg Chlorine Cylinders,
4092M,Return Chlorine Container Scale,
4093M,Return Cylinder Container Scale,
4095C,Chlorine Fan,
4096H,Sulphuric Acid Neutralization Cooler,
4097A,Weak Sulphuric Acid Mixer,
4098T,Sulphuric Acid Neutralization Tank,
4099P,Sulphuric Acid Neutralization Pump,
Area 41,Chlorine Packaging,
4101M,Chlorine Cylinder Filling Scale,
4102X,Cylinder Devalve/Revalve Station,
4103X,Cylinder Tilting Machine,
4104M,Cylinder Tare Weight Scale,
4105M,Chlorine Drum Filling Scale,
4106X,Drum  Conveyor System,
4107M,Drum Check Scale,
4108X,Drum Refurbishing Track,
4109X,Drum Tilting Machine,
4110M,Drum Tare Weight Scale,
4111M,Hydrostatic Test Rig,
4112X,Chlorine Container Hoist,
4113H,Chlorine Degas Vaporizer,
4114H,Chlorine Packing Air Heater,
4115T,Chlorine Packing Caustic Tank,
4116P,Chlorine Packing Caustic Pump,
4117X,Leaking Cylinder Vent Hood,
4118X,Fume Vent Hood,
4119T,Chlorine Packing Sump,
4120P,Chlorine Packing Sump Pump,
4121M,Chlorine Container Hoist Scale,
4122P,Center Trench Sump Pump,
Area 50,Sodium Hypochlorite,
5001U,Primary Hypo Tower,
5002T,Primary Hypo Tower Tank,
5003P,Primary Hypo Tower Pump,
5004H,Primary Hypo Tower Cooler,
5005U,Secondary Hypo Tower,
5006T,Secondary Hypo Tower Tank,
5007P,Secondary Hypo Tower Pump,
5008H,Secondary Hypo Tower Cooler,
5009C,Hypo Fan,
5010T,Hypo Storage Tank,
5011P,Hypo Storage Tank Pump,
5012R,Hypo Reactor,
5013H,Primary Hypo Tower Chiller,
5014H,Hypo Product Cooler,
5015V,Chlorine Degass Ejector,
5016T,OffSpec Hypo Storage Tank,
5017P,OffSpec Hypo Pump,
5019K,Hypo Filter,
5020T,Liquid Chlorine Catch Pot,
5025U,Chlorine Water Absorption Tower,
5030T,Hypo Destruction Tank,
5031P,Hypo Destruction Circulation Pump,
5032M,Hypo Destruction Mixer,
5034R,Hypo Destruction Reactor,
5035P,Hypo Catalyst Pump,
5036A,Hypo Destruction Agitator,
5037U,Hypo Destruction Scrubber,
5040H,Hypo Tower Chiller,
5050C,Chlorine Absorber Fan,
5051T,Emergency Caustic Dump Tank,
5053T,Emergency Caustic Dump Tank,
5054T,Caustic Tank,
5055P,Caustic Tank Pump,
5061U,Tertiary Hypo Tower,
5062P,Tertiary Hypo Tower Pump,
5065V,Emergency Chlorine Ejector,
5071T,Chlorine Scrubbing Tank,
5072P,Chlorine Scrubbing Pump,
5073K,Chlorine Scrubbing Fan,
Area 51,Calcium Hypochlorite,
5101U,Calcium Hypo Tower,
5102T,Calcium Hypo Tank,
5103P,Calcium Hypo Pump,
5105K,Calcium Hypo Filter,
5110T,Calcium Hydroxide Tank,
5111A,Calcium Hydroxide Agitator,
5120T,Calcium Hypochlorite Storage Tank,
5121P,Calcium Hypochlorite Storage Pump,
Area 60,Hydrogen Handling,
6001H,Hydrogen Cooler (Chloralkali),
6002C,Hydrogen Blower,
6003T,Compressor Suction Drum,
6004C,Hydrogen Compressor,
6005H,Hydrogen Compressor Intercooler,
6006H,Hydrogen Blower Aftercooler,
6007T,Condensate Receiving Tank,
6008T,Hydrogen Separator,
6009H,Hydrogen Compressor Precooler,
6010K,Hydrogen Compressor Mist Separator,
6011P,Hydrogen Compressor Sealing Pump,
6015H,Hydrogen Chiller,
6017H,Hydrogen Heater,
6020T,Hydrogen Storage Tank,
6030K,Hydrogen Demister,
6048A,Hydrogen Caustic Dilution Mixer,
6049U,Mother Liquor Scrubber,
6050P,Mother Liquor Scrubber Pump,
6051U,Primary Hydrogen Scrubber,
6052P,Primary Hydrogen Scrubber Pump,
6053U,Secondary Hydrogen Scrubber,
6054P,Secondary Hydrogen Scrubber Pump,
6055H,Hydrogen Scrubber Cooler,
6058U,Hydrogen Wash Tower,
6059P,Hydrogen Wash Tower Pump,
6060H,Hydrogen Wash Tower Cooler,
6061X,Deoxo Unit,
6062T,Hydrogen Seal Tank,
6063X,Hydrogen Dryer,
